codigo;dist_centro;nome;longitude;latitude;peso;dist_cap;id_centro;id_cidade
3500105;52,221147;Adamantina;51,0725;-21,685278;2500;501;5140;4812
3500204;20,792106;Adolfo;49,643611;-21,235;1480;402;5102;4813
3500303;21,153444;Agua�;46,978611;-22,059444;1500;169;5360;4814
3500402;9,1412908;�guas da Prata;46,716667;-21,936667;980;179;5360;4815
3500501;53,70899;�guas de Lind�ia;46,632778;-22,476389;400;119;4898;4816
3500550;37,851102;�guas de Santa B�rbara;49,238889;-22,880556;1180;276;5246;4817
3500600;27,174679;�guas de S�o Pedro;47,876111;-22,599444;0;165;5245;4818
3500709;80,795464;Agudos;48,9875;-22,469167;780;269;5036;4819
3500758;16,386941;Alambari;47,898611;-23,550833;1420;129;5067;4820
3500808;24,179165;Alfredo Marcondes;51,412778;-21,955278;3000;521;5345;4821
3500907;62,52044;Altair;49,058889;-20,523611;857;418;5406;4822
3501004;28,70187;Altin�polis;47,373889;-21,025556;3600;289;4918;4823
3501103;31,982961;Alto Alegre;50,163611;-21,580556;2790;423;5278;4824
3501152;80,901207;Alum�nio;47,261944;-23,535;390;64;5067;4825
3501202;35,273052;�lvares Florence;49,910556;-20,320833;5390;492;4989;4826
3501301;30,378171;�lvares Machado;51,471944;-22,079444;4680;522;5345;4827
3501400;14,97061;�lvaro de Carvalho;49,718889;-22,089167;1297;355;5002;4828
3501509;33,761972;Alvinl�ndia;49,763056;-22,444167;340;343;5376;4829
3501608;33,344272;Americana;47,331389;-22,739167;650;114;4920;4830
3501707;42,18981;Am�rico Brasiliense;48,101667;-21,724444;200;252;4887;4831
3501806;37,397299;Am�rico de Campos;49,731667;-20,299167;3940;481;5406;4832
3501905;36,036768;Amparo;46,764444;-22,701111;3600;95;4898;4833
3502002;25,153108;Anal�ndia;47,663056;-22,126389;800;189;4963;4834
3502101;39,110491;Andradina;51,379444;-20,896111;7400;570;5150;4835
3502200;38,393313;Angatuba;48,412778;-23,489722;8490;182;5067;4836
3502309;27,81778;Anhembi;48,127222;-22,789444;2600;174;4949;4837
3502408;27,797935;Anhumas;51,387222;-22,295278;3500;507;5140;4838
3502507;37,482154;Aparecida;45,229722;-22,846944;470;164;4962;4839
3502606;12,814515;Aparecida d'Oeste;50,879722;-20,449444;2387;557;5208;4840
3502705;23,502734;Apia�;48,8425;-24,509444;100;248;5291;4841
3502754;31,08101;Ara�ariguama;47,061389;-23,438611;413;45;5084;4842
3502804;69,804894;Ara�atuba;50,432778;-21,208889;3840;469;5278;4843
3502903;45,770622;Ara�oiaba da Serra;47,614167;-23,505278;846;100;5067;4844
3503000;13,830351;Aramina;47,785833;-20,090278;300;401;4905;4845
3503109;44,958741;Arandu;49,053889;-23,134444;1000;251;5080;4846
3503158;68,828334;Arape�;44,447778;-22,673889;2017;244;4962;4847
3503208;31,287351;Araraquara;48,175556;-21,794444;2500;250;4887;4848
3503307;55,91914;Araras;47,384167;-22,356944;1534;153;4963;4849
3503356;68,006096;Arco-�ris;50,465;-21,7725;320;440;5278;4850
3503406;31,296155;Arealva;48,911111;-22,028611;2408;288;5036;4851
3503505;61,266278;Areias;44,696944;-22,579722;3100;226;4962;4852
3503604;48,491382;Arei�polis;48,665;-22,668056;360;230;5080;4853
3503703;54,706067;Ariranha;48,786944;-21,187778;290;343;5190;4854
3503802;38,716097;Artur Nogueira;47,1725;-22,573056;1233;121;4920;4855
3503901;88,404207;Aruj�;46,320833;-23,396111;35;36;5416;4856
3503950;28,868934;Asp�sia;50,727222;-20,158889;2927;565;5208;4857
3504008;40,485505;Assis;50,412222;-22,661667;2600;399;5200;4858
3504107;18,372145;Atibaia;46,550278;-23,116944;1600;48;4898;4859
3504206;36,906349;Auriflama;50,554722;-20,685556;3600;514;5208;4860
3504305;34,024034;Ava�;49,333056;-22,146667;1710;317;5002;4861
3504404;12,693888;Avanhandava;49,949722;-21,460833;1990;412;5278;4862
3504503;31,717358;Avar�;48,925833;-23,098611;4120;239;5080;4863
3504602;29,353853;Bady Bassitt;49,445278;-20,918056;1230;411;5102;4864
3504701;50,023116;Balbinos;49,356667;-21,899722;336;334;5190;4865
3504800;13,900309;B�lsamo;49,583611;-20,735278;1530;435;5406;4866
3504909;78,374866;Bananal;44,323333;-22,683611;1580;256;4962;4867
3505005;51,490713;Bar�o de Antonina;49,561389;-23,626944;1430;299;5246;4868
3505104;31,478382;Barbosa;49,949167;-21,266667;1140;424;5278;4869
3505203;36,389146;Bariri;48,740278;-22,074444;2100;271;5036;4870
3505302;67,767613;Barra Bonita;48,558056;-22,494722;340;229;5080;4871
3505351;20,513717;Barra do Chap�u;49,024444;-24,473056;90;264;5291;4872
3505401;51,262531;Barra do Turvo;48,504722;-24,756389;900;232;5091;4873
3505500;0;Barretos;48,567778;-20,557222;2500;387;4874;4874
3505609;42,523993;Barrinha;48,163889;-21,193611;150;304;4880;4875
3505708;51,149879;Barueri;46,876111;-23,510556;0;25;5084;4876
3505807;51,474558;Bastos;50,733889;-21,921944;650;458;5140;4877
3505906;0;Batatais;47,585;-20,891111;5000;310;4878;4878
3506003;66,392015;Bauru;49,060556;-22,314722;980;284;5036;4879
3506102;0;Bebedouro;48,479167;-20,949444;2750;345;4880;4880
3506201;33,684066;Bento de Abreu;50,811944;-21,270556;170;498;5150;4881
3506300;22,104525;Bernardino de Campos;49,474167;-23,013056;2840;296;5246;4882
3506359;19,521237;Bertioga;46,138611;-23,854444;0;61;5023;4883
3506409;65,110141;Bilac;50,470556;-21,403333;1500;461;5278;4884
3506508;57,023746;Birigui;50,34;-21,288611;4600;456;5278;4885
3506607;78,27814;Biritiba-Mirim;46,038611;-23,5725;135;61;5416;4886
3506706;0;Boa Esperan�a do Sul;48,390833;-21,9925;3000;249;4887;4887
3506805;20,667051;Bocaina;48,518056;-22,136111;1370;248;4887;4888
3506904;27,08581;Bofete;48,257778;-23,102222;4080;173;4949;4889
3507001;51,831677;Boituva;47,672222;-23,283333;1030;110;5067;4890
3507100;21,820351;Bom Jesus dos Perd�es;46,465278;-23,135;500;49;4898;4891
3507159;40,122911;Bom Sucesso de Itarar�;49,143889;-24,317778;78;269;5291;4892
3507209;26,597805;Bor�;50,534444;-22,269722;1736;424;5200;4893
3507308;48,688228;Borac�ia;48,778889;-22,193056;990;266;5036;4894
3507407;22,727867;Borborema;49,073611;-21,619722;1950;329;5190;4895
3507456;87,662812;Borebi;48,971111;-22,569444;236;263;4887;4896
3507506;29,702775;Botucatu;48,445;-22,885833;5800;199;5080;4897
3507605;0;Bragan�a Paulista;46,541944;-22,951944;6000;67;4898;4898
3507704;47,522784;Bra�na;50,315556;-21,499167;1330;441;5278;4899
